Virus:gi|167006425|ref|NC_010314.1|	Abaca bunchy top virus DNA-N
Virus:gi|167006427|ref|NC_010315.1|	Abaca bunchy top virus segment 2
Virus:gi|167006428|ref|NC_010316.1|	Abaca bunchy top virus DNA-S
Virus:gi|167006430|ref|NC_010317.1|	Abaca bunchy top virus DNA-M
Virus:gi|167006432|ref|NC_010318.1|	Abaca bunchy top virus DNA-C
Virus:gi|167006434|ref|NC_010319.1|	Abaca bunchy top virus DNA-R
Virus:gi|409191184|ref|NC_018874.1|	Abalone herpesvirus Victoria/AUS/2009
Virus:gi|216906055|ref|NC_011646.1|	Abalone shriveling syndrome-associated virus
Virus:gi|9626953|ref|NC_001499.1|	Abelson murine leukemia virus
Virus:gi|1236513800|ref|NC_035470.1|	Abisko virus isolate Abisko-6
Virus:gi|296005648|ref|NC_014138.1|	Abutilon Brazil virus DNA A segment
Virus:gi|296005654|ref|NC_014139.1|	Abutilon Brazil virus DNA B segment
Virus:gi|321961702|ref|NC_015045.1|	Abutilon mosaic Bolivia virus DNA-A
Virus:gi|321958405|ref|NC_015048.1|	Abutilon mosaic Bolivia virus DNA-B
Virus:gi|372199578|ref|NC_016574.1|	Abutilon mosaic Brazil virus DNA-A
Virus:gi|372199594|ref|NC_016577.1|	Abutilon mosaic Brazil virus DNA-B
Virus:gi|39980672|ref|NC_001928.2|	Abutilon mosaic virus subgenome DNA A
Virus:gi|39980679|ref|NC_001929.2|	Abutilon mosaic virus subgenome DNA B
Virus:gi|311977355|ref|NC_014649.1|	Acanthamoeba polyphaga mimivirus
Virus:gi|119953744|ref|NC_008724.1|	Acanthocystis turfacea Chlorella virus 1
Virus:gi|441431932|ref|NC_020099.1|	Acartia tonsa copepod circovirus isolate 154_D11
Virus:gi|803431994|ref|NC_026767.1|	Bat polyomanvirus 5b-1 DNA
Virus:gi|803657583|ref|NC_026762.1|	Bat polyomavirus 6a DNA
Virus:gi|481852725|ref|NC_021074.1|	Acheta domesticus volvovirus isolate AdVVV-Japan
Virus:gi|701219395|ref|NC_025403.1|	Achimota virus 1
Virus:gi|701219404|ref|NC_025404.1|	Achimota virus 2
Virus:gi|9626510|ref|NC_001447.1|	Acholeplasma phage L2
Virus:gi|9625557|ref|NC_001341.1|	Acholeplasma phage MV-L1
Virus:gi|589889317|ref|NC_023556.1|	Achromobacter phage JWAlpha
Virus:gi|985758637|ref|NC_029075.1|	Achromobacter phage JWF
Virus:gi|971821719|ref|NC_029033.1|	Achromobacter phage phiAxp-1
Virus:gi|985770099|ref|NC_029106.1|	Achromobacter phage phiAxp-2
Virus:gi|971747936|ref|NC_028834.1|	Achromobacter phage 83-24
Virus:gi|971741675|ref|NC_028768.1|	Achromobacter phage JWX
Virus:gi|971757805|ref|NC_028938.1|	Acidianus bottle-shaped virus 2 strain ABV2
Virus:gi|971743462|ref|NC_028787.1|	Acidianus bottle-shaped virus 3 strain ABV3
Virus:gi|146411811|ref|NC_009452.1|	Acidianus bottle-shaped virus
Virus:gi|45655866|ref|NC_005830.1|	Acidianus filamentous virus 1
Virus:gi|157929273|ref|NC_009884.1|	Acidianus filamentous virus 2
Virus:gi|162329288|ref|NC_010155.1|	Acidianus filamentous virus 3
Virus:gi|162329357|ref|NC_010152.1|	Acidianus filamentous virus 6
Virus:gi|162329424|ref|NC_010153.1|	Acidianus filamentous virus 7
Virus:gi|162329482|ref|NC_010154.1|	Acidianus filamentous virus 8
Virus:gi|171473648|ref|NC_010537.1|	Acidianus filamentous virus 9
Virus:gi|159341058|ref|NC_009965.1|	Acidianus rod-shaped virus 1
Virus:gi|1002160190|ref|NC_029314.1|	Acidianus rod-shaped virus 2 strain ARV2
Virus:gi|270281746|ref|NC_013585.1|	Acidianus spindle-shaped virus 1
Virus:gi|1002166811|ref|NC_029316.1|	Acidianus tailed spindle virus isolate 1
Virus:gi|75750386|ref|NC_007409.1|	Acidianus two-tailed virus
Virus:gi|311992494|ref|NC_014660.1|	Acinetobacter phage Ac42
Virus:gi|311992750|ref|NC_014661.1|	Acinetobacter phage Acj61
Virus:gi|311993272|ref|NC_014663.1|	Acinetobacter phage Acj9
Virus:gi|423261980|ref|NC_019541.1|	Acinetobacter phage YMC/09/02/B1251_ABA_BP
Virus:gi|589892139|ref|NC_023590.1|	Acinetobacter phage IME_AB3
Virus:gi|1070106021|ref|NC_031117.1|	Acinetobacter phage LZ35
Virus:gi|589890642|ref|NC_023570.1|	Acinetobacter phage Petty
Virus:gi|1070065083|ref|NC_031086.1|	Acinetobacter phage phiAB6
Virus:gi|971763770|ref|NC_028995.1|	Acinetobacter phage phiAC-1
Virus:gi|589891329|ref|NC_023581.1|	Acinetobacter phage Presley
Virus:gi|712915757|ref|NC_025462.1|	Acinetobacter phage vB_AbaM_Acibel004
Virus:gi|1070619947|ref|NC_031280.1|	Acinetobacter phage vB_AbaM_phiAbaA1
Virus:gi|712915472|ref|NC_025457.1|	Acinetobacter phage vB_AbaP_Acibel007
Virus:gi|1070104669|ref|NC_031098.1|	Acinetobacter phage vB_AbaS_TRS1
Virus:gi|971749762|ref|NC_028855.1|	Acinetobacter phage YMC11/12/R2315
Virus:gi|849248815|ref|NC_027332.1|	Acinetobacter phage YMC13/03/R2096
Virus:gi|939535472|ref|NC_018087.3|	Acinetobacter phage ZZ1
Virus:gi|326536151|ref|NC_015250.1|	Acinetobacter phage 133
Virus:gi|509141259|ref|NC_021337.1|	Acinetobacter phage AB3
Virus:gi|682123100|ref|NC_024785.1|	Acinetobacter phage YMC-13-01-C62
Virus:gi|509139299|ref|NC_021316.1|	Acinetobacter phage Abp1
Virus:gi|388570767|ref|NC_017984.1|	Acinetobacter bacteriophage AP22
Virus:gi|971749165|ref|NC_028848.1|	Acinetobacter phage Fri1
Virus:gi|1275545796|ref|NC_028987.2|	Acinetobacter phage vB_AbaM_IME200
Virus:gi|966200373|ref|NC_028684.1|	Acinetobacter phage vB_AbaP_PD-6A3
Virus:gi|966199732|ref|NC_028679.1|	Acinetobacter phage vB_AbaP_PD-AB9
Virus:gi|966199244|ref|NC_028675.1|	Acinetobacter phage phiAB1
Virus:gi|14251190|ref|NC_002795.1|	Aconitum latent virus
Virus:gi|1236513317|ref|NC_035453.1|	Actinidia virus 1 isolate K75
Virus:gi|357579586|ref|NC_016404.1|	Actinidia virus B
Virus:gi|961512574|ref|NC_028649.1|	Actinidia virus X strain RV-3124 RNA-dependent RNA polymerase
Virus:gi|151266287|ref|NC_009643.1|	Actinomyces phage Av-1
Virus:gi|48697401|ref|NC_005885.1|	Actinoplanes phage phiAsp2
Virus:gi|10314009|ref|NC_002548.1|	Acute bee paralysis virus
Virus:gi|20451015|ref|NC_003780.1|	Acyrthosiphon pisum virus protein P1 gene
Virus:gi|947834932|ref|NC_028246.1|	Adelaide River virus isolate DPP61
Virus:gi|1132350734|ref|NC_032728.1|	Adelphocoris suturalis virus isolate HBWH
Virus:gi|9629641|ref|NC_001829.1|	Adeno-associated virus - 4
Virus:gi|110645916|ref|NC_001401.2|	Adeno-associated virus - 2
Virus:gi|9628918|ref|NC_001729.1|	Adeno-associated virus - 3
Virus:gi|51949960|ref|NC_006260.1|	Adeno-associated virus - 7
Virus:gi|51949963|ref|NC_006261.1|	Adeno-associated virus - 8
Virus:gi|9632547|ref|NC_002077.1|	Adeno-associated virus - 1
Virus:gi|48696557|ref|NC_005889.1|	Bovine adeno-associated virus
Virus:gi|51593836|ref|NC_006152.1|	Adeno-associated virus 5
Virus:gi|506498026|ref|NC_021247.1|	Adoxophyes honmai enomopoxvirus 'L'
Virus:gi|29567085|ref|NC_004690.1|	Adoxophyes honmai NPV
Virus:gi|32698539|ref|NC_005038.1|	Adoxophyes orana granulovirus
Virus:gi|209978775|ref|NC_011423.1|	Adoxophyes orana nucleopolyhedrovirus
Virus:gi|1211677420|ref|NC_035130.1|	Aedes alboannulatus toti-like virus 1 strain mosWSCP114121
Virus:gi|1211677410|ref|NC_035128.1|	Aedes camptorhynchus negev-like virus strain mos191CP47896
Virus:gi|1215835613|ref|NC_035216.1|	Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 2
Virus:gi|1215835616|ref|NC_035217.1|	Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 4
Virus:gi|1215835632|ref|NC_035222.1|	Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 1
Virus:gi|1215835635|ref|NC_035223.1|	Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 3
Virus:gi|1211677423|ref|NC_035131.1|	Aedes camptorhynchus toti-like virus 1 strain mos172CP87493
Virus:gi|254688376|ref|NC_012932.1|	Aedes flavivirus genomic RNA
Virus:gi|83721691|ref|NC_007666.1|	Aedes pseudoscutellaris reovirus segment 1
Virus:gi|83721693|ref|NC_007667.1|	Aedes pseudoscutellaris reovirus segment 2
Virus:gi|83721695|ref|NC_007668.1|	Aedes pseudoscutellaris reovirus segment 3
Virus:gi|83721697|ref|NC_007669.1|	Aedes pseudoscutellaris reovirus segment 4
Virus:gi|83721699|ref|NC_007670.1|	Aedes pseudoscutellaris reovirus segment 5
Virus:gi|83721701|ref|NC_007671.1|	Aedes pseudoscutellaris reovirus segment 6
Virus:gi|83721703|ref|NC_007672.1|	Aedes pseudoscutellaris reovirus segment 7
Virus:gi|83721705|ref|NC_007673.1|	Aedes pseudoscutellaris reovirus segment 8
Virus:gi|83721707|ref|NC_007674.1|	Aedes pseudoscutellaris reovirus segment 9
Virus:gi|423261416|ref|NC_019538.1|	Aeromonas phage CC2
Virus:gi|712915603|ref|NC_025459.1|	Aeromonas phage pAh6-C
Virus:gi|310722466|ref|NC_014636.1|	Aeromonas phage phiAS5
Virus:gi|422937568|ref|NC_019528.1|	Aeromonas phage phiAS7
Virus:gi|593773806|ref|NC_023688.1|	Aeromonas phage PX29
Virus:gi|422937484|ref|NC_019527.1|	Aeromonas phage vB_AsaM-56
Virus:gi|109289986|ref|NC_008208.1|	Aeromonas phage 25
Virus:gi|66391804|ref|NC_007022.1|	Aeromonas phage 31
Virus:gi|37651481|ref|NC_005135.1|	Aeromonas phage 44RR2.8t
Virus:gi|326536409|ref|NC_015251.1|	Aeromonas phage 65
Virus:gi|38639923|ref|NC_005260.1|	Aeromonas phage Aeh1
Virus:gi|472437937|ref|NC_020879.1|	Aeromonas phage Aes012
Virus:gi|423262092|ref|NC_019543.1|	Aeromonas phage Aes508
Virus:gi|310722194|ref|NC_014635.1|	Aeromonas phage phiAS4
Virus:gi|158518661|ref|NC_009542.2|	Aeromonas phage phiO18P
Virus:gi|1327850194|ref|NC_036595.1|	Aeropyrum globular virus 1 genomic DNA
